,abv,brewery_location,brewery_name,ibu,id,name,size,style,ibu_clean,abv_clean,state,r8_beer_name,r8_beer_style,r8_beer_parent_style,r8_beer_overall_score,r8_beer_avg_rating
134,4.5%,"Paso Robles, CA",Firestone Walker Brewing Company,47.0,2569.0,Easy Jack,12 oz.,American IPA,47.0,4.5,CA,N/A,N/A,N/A,,
135,5.5%,"Atlanta, GA",SweetWater Brewing Company,35.0,2568.0,Take Two Pils,12 oz.,German Pilsener,35.0,5.5,GA,Flying Mouse No. 8,Porter,Stouts and Porters,45.671786523769015,3.1261370182037354
136,4.0%,"Troutville, VA",Flying Mouse Brewery,,2567.0,Flying Mouse 8,12 oz.,American Porter,32.2368421053,4.0,VA,Flying Mouse No. 4,India Pale Ale (IPA),Anglo-American Ales,41.98771435985682,3.0658791065216064
137,7.0%,"Troutville, VA",Flying Mouse Brewery,70.0,2566.0,Flying Mouse 4,12 oz. ,American IPA,70.0,7.0,VA,Upslope Lee Hill Series Vol 5 - Belgian Style Quadrupel Ale,Abt/Quadrupel,Belgian-Style Ales,,3.584073066711426
138,12.8%,"Boulder, CO",Upslope Brewing Company,,2565.0,Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale,19.2 oz.,Quadrupel (Quad),24.0,12.8,CO,Upslope Lee Hill Series Vol 4 - Manhattan Style Rye Ale,American Strong Ale,Anglo-American Ales,,3.0856049060821533
139,10.4%,"Boulder, CO",Upslope Brewing Company,,2564.0,Lee Hill Series Vol. 4 - Manhattan Style Rye Ale,19.2 oz.,Rye Beer,52.0,10.4,CO,N/A,N/A,N/A,,
140,6.8%,"Boulder, CO",Upslope Brewing Company,24.0,2563.0,Lee Hill Series Vol. 2 - Wild Saison,19.2 oz.,American Wild Ale,24.0,6.8,CO,N/A,N/A,N/A,,
141,9.9%,"Boulder, CO",Upslope Brewing Company,51.0,2562.0,Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout,19.2 oz.,American Double / Imperial Stout,51.0,9.9,CO,N/A,N/A,N/A,,
142,7.6%,"Boulder, CO",Upslope Brewing Company,,2561.0,Lee Hill Series Vol. 1 - Barrel Aged Brown Ale,19.2 oz.,American Brown Ale,30.0256410256,7.6,CO,N/A,N/A,N/A,,
143,6.0%,"Boulder, CO",Upslope Brewing Company,,2560.0,Blood Orange Saison,12 oz. ,Saison / Farmhouse Ale,28.3913043478,6.0,CO,Pipeworks Blood of the Unicorn,American Strong Ale,Anglo-American Ales,96.76093416716394,3.720093011856079
144,6.5%,"Chicago, IL",Pipeworks Brewing Company,,2559.0,Blood of the Unicorn,16 oz.,American Amber / Red Ale,36.2987012987,6.5,IL,N/A,N/A,N/A,,
145,4.4%,"Roseville, MN",Bent Brewstillery,44.0,2558.0,Moar,12 oz.,English India Pale Ale (IPA),44.0,4.4,MN,N/A,N/A,N/A,,
146,8.3%,"Roseville, MN",Bent Brewstillery,,2557.0,Uber Lupin Schwarz IPA,16 oz.,American Double / Imperial IPA,93.5394736842,8.3,MN,Bent Brewstillery Nordic Blonde,Amber Ale,Anglo-American Ales,27.247345066258077,2.8882429599761963
147,5.7%,"Roseville, MN",Bent Brewstillery,27.0,2556.0,Nordic Blonde,12 oz.,American Blonde Ale,27.0,5.7,MN,Tallgrass Ginger Peach Saison,Spice/Herb/Vegetable,"Traditional, Spice, Other",50.88267636970165,3.187385082244873
148,4.8%,"Manhattan, KS",Tallgrass Brewing Company,20.0,2555.0,Ginger Peach Saison,16 oz.,Saison / Farmhouse Ale,20.0,4.8,KS,Flesk Moped Traveler,American Pale Ale,Anglo-American Ales,,3.2873940467834473
149,5.5%,"Lombard, IL",Flesk Brewing Company,,2554.0,Moped Traveler,16 oz.,American Pale Ale (APA),44.9411764706,5.5,IL,Pollyanna Mazzie,American Pale Ale,Anglo-American Ales,54.40535985780613,3.239104986190796
150,5.4%,"Lemont, IL",Pollyanna Brewing Company,45.0,2553.0,Mazzie,12 oz.,American Pale Ale (APA),45.0,5.4,IL,Painted Turtle Apple Crisp Cider,Cider,Ciders,,3.0643739700317383
151,4.5%,"Lyons, IL",BuckleDown Brewing,,2552.0,Painted Turtle,12 oz.,American Pale Ale (APA),44.9411764706,4.5,IL,N/A,N/A,N/A,,
152,5.7%,"Atlanta, GA",SweetWater Brewing Company,,2551.0,Waterkeeper,12 oz.,Hefeweizen,17.5925925926,5.7,GA,N/A,N/A,N/A,,
153,5.2%,"Bloomington, IL",Destihl Brewery,16.0,2550.0,Weissenheimer,12 oz.,Hefeweizen,16.0,5.2,IL,Summit Unchained 19 Make It So ESB,Premium Bitter/ESB,Anglo-American Ales,90.48146031037827,3.5330801010131836
154,5.3%,"St. Paul, MN",Summit Brewing Company,40.0,2549.0,Make It So,12 oz.,Extra Special / Strong Bitter (ESB),40.0,5.3,MN,N/A,N/A,N/A,,
155,7.0%,"Grand Rapids, MI",Brewery Vivant,,2548.0,Beasts A'Burnin',16 oz.,Rauchbier,0.0,7.0,MI,N/A,N/A,N/A,,
156,4.5%,"Portage, MI",Latitude 42 Brewing Company,,2547.0,Beach Cruiser,12 oz.,Hefeweizen,17.5925925926,4.5,MI,Avery Perzik Saison,Saison,Belgian-Style Ales,78.15251115535108,3.4012129306793213
157,6.4%,"Boulder, CO",Avery Brewing Company,,2546.0,Perzik Saison,12 oz.,Saison / Farmhouse Ale,28.3913043478,6.4,CO,4 Hands Passion Fruit Prussia,Berliner Weisse,Lambic and Sour Ale,90.40708437717223,3.5474119186401367
158,3.5%,"Saint Louis, MO",4 Hands Brewing Company,11.0,2545.0,Passion Fruit Prussia,12 oz.,Berliner Weissbier,11.0,3.5,MO,4 Hands Send Help,Golden Ale/Blond Ale,Anglo-American Ales,49.523889008131334,3.1992499828338623
159,4.5%,"Saint Louis, MO",4 Hands Brewing Company,18.0,2544.0,Send Help,12 oz.,American Blonde Ale,18.0,4.5,MO,Amager / Surly Todd - The Axe Man,India Pale Ale (IPA),Anglo-American Ales,98.56625086044946,3.8341920375823975
160,7.2%,"Brooklyn Center, MN",Surly Brewing Company,,2543.0,Todd the Axe Man,16 oz.,American IPA,67.634551495,7.2,MN,N/A,N/A,N/A,,
161,7.7%,"Grand Rapids, MI",Brewery Vivant,,2542.0,Verdun,16 oz.,Bière de Garde,23.0,7.7,MI,N/A,N/A,N/A,,
162,6.5%,"Grand Rapids, MI",Brewery Vivant,,2541.0,Barrel Aged Triomphe,16 oz.,Belgian IPA,57.0,6.5,MI,N/A,N/A,N/A,,
163,8.2%,"Louisville, KY",Against The Grain Brewery,68.0,2540.0,Citra Ass Down,16 oz.,American IPA,68.0,8.2,KY,Against the Grain The Brown Note,Brown Ale,Anglo-American Ales,86.26437371234817,3.4866859912872314
164,5.0%,"Louisville, KY",Against The Grain Brewery,20.0,2539.0,The Brown Note,16 oz.,American Brown Ale,20.0,5.0,KY,N/A,N/A,N/A,,
165,6.0%,"Edwards, CO",Crazy Mountain Brewing Company,46.0,2538.0,Neomexicanus Native,12 oz.,American Pale Ale (APA),46.0,6.0,CO,N/A,N/A,N/A,,
166,8.5%,"Chicago, IL",SlapShot Brewing Company,,2537.0,Monkey Dancing On A Razor Blade,24 oz.,Belgian IPA,57.0,8.5,IL,Slapshot Tripel Deke,Abbey Tripel,Belgian-Style Ales,,2.9694340229034424
167,8.2%,"Chicago, IL",SlapShot Brewing Company,,2536.0,Tripel Deke,24 oz.,Tripel,23.5,8.2,IL,N/A,N/A,N/A,,
168,8.3%,"Chicago, IL",Mikerphone Brewing,,2535.0,Vinyl Frontier,24 oz.,American Double / Imperial IPA,93.5394736842,8.3,IL,Mikerphone Disco Superfly,Imperial IPA,Anglo-American Ales,,3.360783100128174
169,8.0%,"Chicago, IL",Mikerphone Brewing,,2534.0,Disco Superfly,24 oz.,American IPA,67.634551495,8.0,IL,Founders Misty Mountain Hop Brown Ale,Brown Ale,Anglo-American Ales,89.72637816883001,3.5283539295196533
170,7.5%,"Chicago, IL",Mikerphone Brewing,,2533.0,Misty Mountain Hop,24 oz.,American IPA,67.634551495,7.5,IL,N/A,N/A,N/A,,
171,7.5%,"Chicago, IL",Mikerphone Brewing,,2532.0,One-Hit Wonderful,24 oz.,Belgian IPA,57.0,7.5,IL,Mikerphone En Parfaite Harmonie,Saison,Belgian-Style Ales,,3.237199068069458
172,6.5%,"Chicago, IL",Mikerphone Brewing,,2531.0,En Parfaite Harmonie,24 oz.,Saison / Farmhouse Ale,28.3913043478,6.5,IL,N/A,N/A,N/A,,
173,4.3%,"Chicago, IL",Mikerphone Brewing,8.0,2530.0,Daft Funk,24 oz.,Berliner Weissbier,8.0,4.3,IL,N/A,N/A,N/A,,
174,7.5%,"Chicago, IL",Mikerphone Brewing,,2529.0,Love In An Ellavator,24 oz.,American IPA,67.634551495,7.5,IL,N/A,N/A,N/A,,
175,5.3%,"Chicago, IL",Mikerphone Brewing,,2528.0,Spin Doctor,24 oz.,American Pale Ale (APA),44.9411764706,5.3,IL,Freetail OktoberFiesta,Belgian Ale,Belgian-Style Ales,59.19187993895043,3.2513740062713623
176,5.3%,"San Antonio, TX",Freetail Brewing Company,27.0,2527.0,OktoberFiesta,12 oz.,,27.0,5.3,TX,Freetail TexiCali Brown Ale,Brown Ale,Anglo-American Ales,75.97332364039563,3.3700220584869385
177,6.5%,"San Antonio, TX",Freetail Brewing Company,33.0,2526.0,Texicali ,12 oz.,American Brown Ale,33.0,6.5,TX,N/A,N/A,N/A,,
178,6.0%,"San Antonio, TX",Freetail Brewing Company,,2525.0,Pinata Protest,12 oz.,Witbier,16.44,6.0,TX,N/A,N/A,N/A,,
179,4.2%,"San Antonio, TX",Freetail Brewing Company,20.0,2524.0,Bat Outta Helles,12 oz.,Munich Helles Lager,20.0,4.2,TX,N/A,N/A,N/A,,
180,6.8%,"San Antonio, TX",Freetail Brewing Company,,2523.0,Original,12 oz.,American Amber / Red Ale,36.2987012987,6.8,TX,Freetail Rye Wit,Specialty Grain,"Traditional, Spice, Other",62.45829649939023,3.2826449871063232
181,4.2%,"San Antonio, TX",Freetail Brewing Company,10.0,2522.0,Rye Wit,12 oz.,Witbier,10.0,4.2,TX,N/A,N/A,N/A,,
182,5.9%,"San Antonio, TX",Freetail Brewing Company,70.0,2521.0,Soul Doubt,12 oz.,American IPA,70.0,5.9,TX,Freetail Yo Soy Un Berliner,Berliner Weisse,Lambic and Sour Ale,91.13980915403856,3.547424077987671
183,4.4%,"San Antonio, TX",Freetail Brewing Company,5.0,2520.0,Yo Soy Un Berliner,12 oz.,Berliner Weissbier,5.0,4.4,TX,3 Daughters Bimini Twist IPA,India Pale Ale (IPA),Anglo-American Ales,34.15725592663991,2.9825360774993896
184,7.0%,"St Petersburg, FL",3 Daughters Brewing,82.0,2519.0,Bimini Twist,12 oz.,American IPA,82.0,7.0,FL,N/A,N/A,N/A,,
185,5.0%,"St Petersburg, FL",3 Daughters Brewing,,2518.0,Beach Blonde,12 oz.,American Blonde Ale,20.9032258065,5.0,FL,N/A,N/A,N/A,,
186,5.9%,"St Petersburg, FL",3 Daughters Brewing,,2517.0,Rod Bender Red,12 oz.,American Amber / Red Ale,36.2987012987,5.9,FL,N/A,Golden Ale/Blond Ale,Anglo-American Ales,,3.0724198818206787
187,5.1%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,17.0,2516.0,Farmer's Daughter Blonde,16 oz.,American Blonde Ale,17.0,5.1,MD,Pump House IPA,India Pale Ale (IPA),Anglo-American Ales,77.9279275842001,3.384424924850464
188,5.5%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,45.0,2515.0,Pump House IPA,16 oz.,American IPA,45.0,5.5,MD,Red Shedman Suicide Blonde White IPA,India Pale Ale (IPA),Anglo-American Ales,,3.0469839572906494
189,7.0%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,,2514.0,Suicide Blonde IPA,16 oz.,Belgian IPA,57.0,7.0,MD,N/A,N/A,N/A,,
190,4.7%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,25.0,2513.0,Vanilla Porter,16 oz.,American Porter,25.0,4.7,MD,Madison River Salmon Fly Honey Rye,Specialty Grain,"Traditional, Spice, Other",19.256885368390037,2.766684055328369
191,5.8%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,18.0,2512.0,Honey Rye,16 oz.,Rye Beer,18.0,5.8,MD,N/A,N/A,N/A,,
192,7.1%,"Boone, NC",Appalachian Mountain Brewery,75.0,2511.0,Long Leaf,16 oz.,American IPA,75.0,7.1,NC,N/A,N/A,N/A,,
193,4.7%,"Boone, NC",Appalachian Mountain Brewery,19.0,2510.0,Honey Badger Blonde,16 oz.,American Blonde Ale,19.0,4.7,NC,N/A,N/A,N/A,,
194,6.0%,"Boone, NC",Appalachian Mountain Brewery,23.0,2509.0,Porter (a/k/a Black Gold Porter),16 oz.,American Porter,23.0,6.0,NC,N/A,N/A,N/A,,
195,5.5%,"Charlotte, NC",Birdsong Brewing Company,45.0,2508.0,Jalapeno Pale Ale,16 oz.,American Pale Ale (APA),45.0,5.5,NC,N/A,N/A,N/A,,
196,8.5%,"Baltimore, MD",Union Craft Brewing,90.0,2507.0,Double Duckpin,12 oz.,American Double / Imperial IPA,90.0,8.5,MD,N/A,N/A,N/A,,
197,4.2%,"Baltimore, MD",Union Craft Brewing,10.0,2506.0,Old Pro,12 oz.,Gose,10.0,4.2,MD,N/A,N/A,N/A,,
198,4.9%,"Bloomington, IL",Destihl Brewery,22.0,2505.0,Abbey's Single (2015- ),12 oz.,Abbey Single Ale,22.0,4.9,IL,Brewery Vivant / Victory Cherry Doppelbock,Fruit Beer,"Traditional, Spice, Other",48.61977873758025,3.1733438968658447
199,6.5%,"Grand Rapids, MI",Brewery Vivant,,2504.0,Cherry Doppelbock,16 oz.,Doppelbock,24.5,6.5,MI,Atwater Hop-a-peel,India Pale Ale (IPA),Anglo-American Ales,47.8107804404905,3.1651151180267334
200,7.5%,"Detroit, MI",Atwater Brewery,115.0,2503.0,Hop A-Peel,16 oz.,American Double / Imperial IPA,115.0,7.5,MI,Atwater Vanilla Java Porter,Spice/Herb/Vegetable,"Traditional, Spice, Other",30.862132628797255,2.9410059452056885
201,5.5%,"Detroit, MI",Atwater Brewery,12.0,2502.0,Vanilla Java Porter,16 oz.,American Porter,12.0,5.5,MI,Ale Asylum Hopalicious,American Pale Ale,Anglo-American Ales,90.776494492782,3.5536530017852783
202,5.7%,"Madison, WI",Ale Asylum,,2501.0,Hopalicious,12 oz.,American Pale Ale (APA),44.9411764706,5.7,WI,Brewery Vivant Tropical Saison,Saison,Belgian-Style Ales,66.05291970717266,3.2963039875030518
203,6.5%,"Grand Rapids, MI",Brewery Vivant,,2500.0,Tropical Saison,16 oz.,Saison / Farmhouse Ale,28.3913043478,6.5,MI,N/A,N/A,N/A,,
204,6.5%,"Grand Rapids, MI",Brewery Vivant,,2499.0,Beach Patrol,16 oz.,Witbier,16.44,6.5,MI,Brewery Vivant Nuit Serpent,Black IPA,Stouts and Porters,,3.0856049060821533
205,5.0%,"Grand Rapids, MI",Brewery Vivant,,2498.0,Nuit Serpent,16 oz.,Belgian IPA,57.0,5.0,MI,N/A,N/A,N/A,,
206,6.3%,"Warrenville, IL",Two Brothers Brewing Company,69.0,2497.0,Wobble,16 oz.,American IPA,69.0,6.3,IL,Bent Paddle Cold Press Black Ale,Stout,Stouts and Porters,93.97090837021767,3.624372959136963
207,6.0%,"Duluth, MN",Bent Paddle Brewing Company,,2496.0,Cold Press,12 oz.,American Black Ale,68.9,6.0,MN,Michelada Malinche,Spice/Herb/Vegetable,"Traditional, Spice, Other",,2.3149330615997314
208,5.2%,"Detroit, MI",Atwater Brewery,,2495.0,Michelada,16 oz.,Fruit / Vegetable Beer,14.2,5.2,MI,N/A,N/A,N/A,,
209,5.8%,"Kalamazoo, MI",Bell's Brewery,,2494.0,Oberon,12 OZ.,American Pale Wheat Ale,20.6885245902,5.8,MI,N/A,India Pale Ale (IPA),Anglo-American Ales,74.30381067688512,3.275942087173462
210,6.8%,"Portage, MI",Latitude 42 Brewing Company,,2493.0,I.P. Eh!,12 oz.,American IPA,67.634551495,6.8,MI,Latitude 42 Schoolhouse Honey,Amber Ale,Anglo-American Ales,37.04734505809932,3.007607936859131
211,5.0%,"Portage, MI",Latitude 42 Brewing Company,,2492.0,Schoolhouse Honey,12 oz.,American Amber / Red Ale,36.2987012987,5.0,MI,Coronado / Lattitide 42 10 Degrees of Separation,Brown Ale,Anglo-American Ales,78.37594947091945,3.374424934387207
212,5.5%,"Portage, MI",Latitude 42 Brewing Company,,2491.0,10 Degrees of Separation,12 oz.,English Brown Ale,23.2,5.5,MI,N/A,N/A,N/A,,
213,,,,,,,,,,,,N/A,N/A,N/A,,
214,,,,,,,,,,,,N/A,N/A,N/A,,
215,,,,,,,,,,,,N/A,N/A,N/A,,
216,,,,,,,,,,,,Tempest Totally Radler,Radler/Shandy,Lagers,21.195206244198456,2.794790029525757
217,4.7%,"San Francisco, CA",Speakasy Ales & Lagers,35.0,2486.0,Baby Daddy Session IPA,12 oz.,American IPA,35.0,4.7,CA,N/A,N/A,N/A,,
218,4.8%,"Sheridan, WY",Black Tooth Brewing Company,16.0,2485.0,Saddle Bronc Brown Ale,12 oz. ,American Brown Ale,16.0,4.8,WY,James Page Healani Pineapple Hefeweizen,Wheat Ale,Wheat Beer,37.30323728403878,3.0065689086914062
219,4.6%,"Sheridan, WY",Black Tooth Brewing Company,20.0,2484.0,Bomber Mountain Amber Ale,12 oz.,American Amber / Red Ale,20.0,4.6,WY,N/A,N/A,N/A,,
220,6.8%,"Portland, OR",Hopworks Urban Brewery,,2483.0,Hard Cider,16 oz.,Cider,0.0,6.8,OR,N/A,American Pale Ale,Anglo-American Ales,43.26499605622158,3.082953929901123
221,2.7%,"Portland, OR",Hopworks Urban Brewery,21.0,2482.0,Totally Radler,16 oz.,Radler,21.0,2.7,OR,N/A,N/A,N/A,,
222,9.0%,"Grand Rapids, MI",Brewery Vivant,,2481.0,Paris,16 oz.,Saison / Farmhouse Ale,28.3913043478,9.0,MI,N/A,N/A,N/A,,
223,4.5%,"Stevens Point, WI",James Page Brewing Company,,2480.0,Healani,12 oz.,Hefeweizen,17.5925925926,4.5,WI,N/A,N/A,N/A,,
224,4.2%,"Brooklyn, NY",Sixpoint Craft Ales,16.0,2479.0,Jammer,12 oz. Slimline,Gose,16.0,4.2,NY,Sierra Nevada Nooner Pilsner,Pilsener,Lagers,71.06762745306455,3.347450017929077
225,5.5%,"Michigan City, IN",Burn 'Em Brewing,40.0,2478.0,Pale Alement,12 oz.,American Pale Ale (APA),40.0,5.5,IN,N/A,N/A,N/A,,
226,5.2%,"Denver, CO",Epic Brewing,,2477.0,Lil' Brainless Raspberries,12 oz.,Fruit / Vegetable Beer,14.2,5.2,CO,N/A,Imperial IPA,Anglo-American Ales,,0
227,5.5%,"Grand Rapids, MI",Brewery Vivant,,2476.0,The Grand Army,16 oz.,Belgian IPA,57.0,5.5,MI,N/A,Cream Ale,Anglo-American Ales,47.647139514100644,3.156574010848999
228,4.5%,"Fort Collins, CO",New Belgium Brewing Company,40.0,2475.0,Slow Ride,12 oz.,American IPA,40.0,4.5,CO,Big Lake Ryecoe,India Pale Ale (IPA),Anglo-American Ales,92.80330087317742,3.5934369564056396
229,5.2%,"Chico, CA",Sierra Nevada Brewing Company,,2474.0,Nooner,12 oz.,German Pilsener,34.1764705882,5.2,CA,Traverse Manitou Amber Ale,Amber Ale,Anglo-American Ales,21.4,2.640000104904175
230,4.7%,"St. Paul, MN",Summit Brewing Company,55.0,2473.0,Hopvale Organic Ale,16 oz.,American Pale Ale (APA),55.0,4.7,MN,Brewery Vivant Acidulated Trip,Saison,Belgian-Style Ales,,3.2873940467834473
231,,,,,,,,,,,,High & Mighty St. Hubbins Boot-Knockin Sock Rocker,Sour/Wild Ale,Lambic and Sour Ale,0,3.0799999237060547
232,9.9%,"Michigan City, IN",Burn 'Em Brewing,115.0,2471.0,Hopkick Dropkick,12 oz.,American Double / Imperial IPA,115.0,9.9,IN,N/A,N/A,N/A,,
233,6.0%,"Michigan City, IN",Burn 'Em Brewing,,2470.0,Kreamed Corn,12 oz.,Cream Ale,20.3333333333,6.0,IN,N/A,N/A,N/A,,
234,6.2%,"Holland, MI",Big Lake Brewing,,2469.0,Ryecoe,16 oz.,American IPA,67.634551495,6.2,MI,N/A,N/A,N/A,,
235,5.3%,"Traverse City, MI",Brewery Terra Firma,,2468.0,Manitou Amber,16 oz.,American Amber / Red Ale,36.2987012987,5.3,MI,SPAR Svetlo Pivo Pils (Slovenia),Pilsener,Lagers,,0
236,5.9%,"Grand Rapids, MI",Brewery Vivant,,2467.0,Acidulated Trip,16 oz.,Saison / Farmhouse Ale,28.3913043478,5.9,MI,Grey Sail Autumn Winds Fest Beer,N/A,Lagers,46.76093414213115,3.141047954559326
237,6.6%,"Grand Rapids, MI",Brewery Vivant,,2466.0,Root Stock,16 oz.,Rye Beer,52.0,6.6,MI,India Pale Ale,India Pale Ale (IPA),Anglo-American Ales,,2.919584035873413
238,4.1%,"Grand Rapids, MI",Brewery Vivant,,2465.0,Mind Games,16 oz.,Dunkelweizen,16.0,4.1,MI,N/A,N/A,N/A,,
239,6.5%,"Michigan City, IN",Burn 'Em Brewing,,2464.0,Coconoats,16 oz.,American Pale Wheat Ale,20.6885245902,6.5,IN,N/A,N/A,N/A,,
240,7.5%,"Paso Robles, CA",Firestone Walker Brewing Company,75.0,2463.0,Union Jack,12 oz.,American IPA,75.0,7.5,CA,Goose Island 312 Urban Pale Ale,American Pale Ale,Anglo-American Ales,41.77884931601316,3.083566904067993
241,5.3%,"Paso Robles, CA",Firestone Walker Brewing Company,,2462.0,Pivo Pils,12 oz.,German Pilsener,34.1764705882,5.3,CA,N/A,N/A,N/A,,
242,5.8%,"Westerly, RI",Grey Sail Brewing Company,,2461.0,Autumn Winds Fest Beer,16 oz,Märzen / Oktoberfest,22.9047619048,5.8,RI,Lionshead,Pale Lager,Lagers,5.573742501849477,2.2071189880371094
243,6.3%,"Kirkwood, MO",Kirkwood Station Brewing Company,65.0,2460.0,India Pale Ale,16 oz.,American IPA,65.0,6.3,MO,MadTree Galaxy High,Imperial IPA,Anglo-American Ales,98.08203073146888,3.783592939376831
244,4.8%,"Kirkwood, MO",Kirkwood Station Brewing Company,11.0,2459.0,Blackberry Wheat,16 oz.,American Pale Wheat Ale,11.0,4.8,MO,N/A,N/A,N/A,,
245,7.5%,"Dripping Springs, TX",Twisted X Brewing Company,63.0,2458.0,Chupahopra,12 oz.,American IPA,63.0,7.5,TX,All In Brewing Hustle Imperial Stout,Imperial Stout,Stouts and Porters,98.61977876414524,3.841952085494995
246,5.4%,"Chicago, IL",Goose Island Brewing Company,30.0,2457.0,312 Urban Pale Ale,16 oz.,American Pale Ale (APA),30.0,5.4,IL,Rhinegeist Pure Fury,American Pale Ale,Anglo-American Ales,89.26102337416908,3.5276029109954834
247,6.1%,"East Windsor, CT",Broad Brook Brewing LLC,,2456.0,Broad Brook Ale,16 oz.,American Amber / Red Ale,36.2987012987,6.1,CT,Warped Wing Self Starter,Session IPA,Anglo-American Ales,64.27017859318198,3.283400058746338
248,4.5%,"Wilkes-Barre, PA",The Lion Brewery,,2455.0,Lionshead,12 oz.,American Pilsner,24.8,4.5,PA,N/A,N/A,N/A,,
249,9.9%,"Cincinnati, OH",Madtree Brewing Company,,2454.0,Galaxy High,12 oz.,American Double / Imperial IPA,93.5394736842,9.9,OH,Tapistry Reactor IPA,India Pale Ale (IPA),Anglo-American Ales,82.19866764260539,3.4389469623565674
250,5.5%,"Athens, OH",Jackie O's Pub & Brewery,,2453.0,Razz Wheat,12 oz.,Fruit / Vegetable Beer,14.2,5.5,OH,N/A,N/A,N/A,,
251,5.7%,"Cincinnati, OH",Rhinegeist Brewery,42.0,2452.0,Hustle,12 oz.,American Amber / Red Ale,42.0,5.7,OH,Catawba Peanut Butter Jelly Time Ale,Brown Ale,Anglo-American Ales,52.35271286052692,3.227530002593994
252,5.5%,"Cincinnati, OH",Rhinegeist Brewery,42.0,2451.0,Pure Fury,12 oz.,American Pale Ale (APA),42.0,5.5,OH,N/A,N/A,N/A,,
253,5.2%,"Dayton, OH",Warped Wing Brewing Company,67.0,2450.0,Self Starter,16 oz.,American IPA,67.0,5.2,OH,N/A,India Pale Ale (IPA),Anglo-American Ales,99.36495106766212,3.9366989135742188
254,7.3%,"Marquette, MA",Blackrocks Brewery,,2449.0,Flying Sailor,12 oz.,Rye Beer,52.0,7.3,MA,N/A,N/A,N/A,,
255,7.0%,"Bridgman, MI",Tapistry Brewing,,2448.0,Reactor,16 oz.,American IPA,67.634551495,7.0,MI,Mission Cortez Gold,Belgian Ale,Belgian-Style Ales,43.907685205153136,3.086003065109253
256,5.7%,"Bridgman, MI",Tapistry Brewing,,2447.0,Mr. Orange,16 oz.,Witbier,16.44,5.7,MI,Mission IPA,India Pale Ale (IPA),Anglo-American Ales,86.61520754121675,3.490492105484009
257,5.8%,"Morganton, NC",Catawba Valley Brewing Company,,2446.0,Peanut Butter Jelly Time,12 oz.,American Brown Ale,30.0256410256,5.8,NC,N/A,N/A,N/A,,
258,8.2%,"Hershey, PA",Tröegs Brewing Company,,2445.0,Troegenator,16 oz.,Doppelbock,24.5,8.2,PA,St. Bernardus Christmas Ale,Belgian Strong Ale,Belgian-Style Ales,98.99322872642753,3.87819504737854
259,7.5%,"Hershey, PA",Tröegs Brewing Company,93.0,2444.0,Nugget Nectar,16 oz.,American Amber / Red Ale,93.0,7.5,PA,N/A,N/A,N/A,,
260,8.0%,"Brooklyn, NY",Sixpoint Craft Ales,,2443.0,Abigale,12 oz.,Belgian Pale Ale,23.875,8.0,NY,Newport Storm Summer Ale (Maelstrom IPA),India Pale Ale (IPA),Anglo-American Ales,60.47836824639503,3.1690549850463867
261,5.0%,"San Diego, CA",Mission Brewery,,2442.0,Cortez Gold,32 oz.,Belgian Pale Ale,23.875,5.0,CA,N/A,N/A,N/A,,
262,6.8%,"San Diego, CA",Mission Brewery,66.0,2441.0,Mission IPA,32 oz.,American IPA,66.0,6.8,CA,N/A,N/A,N/A,,
263,8.9%,"Cincinnati, OH",Christian Moerlein Brewing Company,126.0,2440.0,Bay of Bengal Double IPA (2014),12 oz.,American Double / Imperial IPA,126.0,8.9,OH,Orgasmica Peach Pale Ale,Fruit Beer,"Traditional, Spice, Other",31.174994461410687,2.8592350482940674
264,9.0%,"Lexington, KY",West Sixth Brewing,,2439.0,Christmas Ale,12 oz.,Herbed / Spiced Beer,22.2,9.0,KY,Brewery Vivant Sous Chef,Belgian Strong Ale,Belgian-Style Ales,,3.1857049465179443
265,4.6%,"Newport, RI",Coastal Extreme Brewing Company,11.0,2438.0,Rhode Island Blueberry,12 oz.,Kölsch,11.0,4.6,RI,N/A,N/A,N/A,,
266,6.5%,"Newport, RI",Coastal Extreme Brewing Company,75.0,2437.0,Newport Storm IPA,12 oz.,American IPA,75.0,6.5,RI,Coronado Bobble Head (Bobblehead) Red IPA,Imperial IPA,Anglo-American Ales,87.89053334946438,3.496361017227173
267,5.1%,"Anchorage, AK",King Street Brewing Company,,2436.0,Amber Ale,12 oz.,American Amber / Red Ale,36.2987012987,5.1,AK,Lucky Dog Apple Cider,Cider,Ciders,,2.3628499507904053
